,genres,title,id,Action,Adventure,Animation &amp; Modeling,Audio Production,Casual,Design &amp; Illustration,Early Access,Education,Free to Play,Indie,Massively Multiplayer,Photo Editing,RPG,Racing,Simulation,Software Training,Sports,Strategy,Utilities,Video Production,Web Publishing,year
88310,"Action, Casual, Indie, Simulation, Strategy",Lost Summoner Kitty,761140,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2018
88311,"Free to Play, Indie, RPG, Strategy",Ironbound,643980,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,2018
88312,"Casual, Free to Play, Indie, Simulation, Sports",Real Pool 3D - Poolians,670290,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,2017
88313,"Action, Adventure, Casual",弹炸人2222,767400,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
88315,"Action, Adventure, Simulation",Battle Royale Trainer,772540,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2018
88317,"Free to Play, Indie, Simulation, Sports",SNOW - All Access Pro Pass,774277,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,2018
88318,"Free to Play, Indie, Simulation, Sports",SNOW - All Access Legend Pass,774278,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,2018
88322,"Action, Adventure, Casual, Indie, RPG",Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,770380,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2018
88323,"Casual, Indie",Beach Rules,768880,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2018
88324,"Casual, Indie, Simulation",Planetarium 2 - Zen Odyssey,765320,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2018
88325,"Adventure, Casual, Indie, Simulation, Strategy",The first thrust of God,773650,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2018
