user_id,items_count,steam_id,playtime_forever,playtime_2weeks
76561197970982479,277,76561197970982479,6,0
js41637,888,76561198035864385,0,0
evcentric,137,76561198007712555,923,0
Riot-Punch,328,76561197963445855,0,0
doctr,541,76561198002099482,1131,0
MinxIsBetterThanPotatoes,371,76561198004744620,256,0
NitemarePK,304,76561197990951820,3529,0
themanwich,258,76561198035296505,219,0
maplemage,629,76561198026584251,5751,0
Wackky,0,76561198039117046,0,0
corrupted_soul,115,76561198007659921,2644,0
76561198079601835,0,76561198079601835,0,0
jorellpogi,71,76561198103696236,3519,0
cadmusthreepointoh,253,76561198027078629,0,0
76561198064823719,55,76561198064823719,2261,0
MeaTCompany,14,76561198071532177,3209,0
76561198089393905,103,76561198089393905,47269,745
76561198156664158,59,76561198156664158,269,0
76561198077246154,174,76561198077246154,4317,0
76561198070234207,33,76561198070234207,0,0
WeiEDKrSat,28,76561198041660154,328,0
thequeenpanda,524,76561198010803705,57,0
death-hunter,121,76561198018556265,582,0
turneddreamsintoanempire,96,76561198122837537,972,0
DJKamBer,152,76561198026039330,868,0
76561198030389591,12,76561198030389591,0,0
Rainbow-Dashie,59,76561198087659130,253,0
btuty8trgt,99,76561198054746068,230,0
76561198043472122,88,76561198043472122,0,0
MarbleShrine,185,76561198062570934,92,0
fdcfelipefdc,43,76561198076096109,860,0
hellom8o,0,76561198117222320,0,0
bbaekhyun,77,76561198066849709,186,0
Moomfina,50,76561198056795460,425,0
PPanther,62,76561198026157558,12870,0
ABSOLUTLY_NOTHING,196,76561198053289985,5217,0
devvonst,68,76561198062380099,5032,0
Fr0stedLine,50,76561198037965617,580,0
starkillershadow553,0,76561198059648579,0,0
76561198058373434,49,76561198058373434,260,0
76561198048353577,95,76561198048353577,84234,293
76561198072190369,32,76561198072190369,0,0
76561198066046412,48,76561198066046412,37,0
tru_mu_,62,76561198071250884,1730,0
wirlom,50,76561198096285145,30,0
76561198070565427,75,76561198070565427,4944,0
SavageEeEe,32,76561198078235843,6702,0
76561198076909484,11,76561198076909484,5577,0
76561198066908262,10,76561198066908262,3,0
KanadeTheNeko,73,76561198129159264,1406,0
Leaf_Light_Moscow,5,76561198305694024,4548,1729
erickoiv,6,76561198011733673,625,0
GoAwayZach,59,76561198086431390,2583,0
76561198054540475,106,76561198054540475,89,0
darkenkane,0,76561198058876001,0,0
76561198100701221,96,76561198100701221,13,0
76561198085547365,65,76561198085547365,11304,0
76561198061252210,25,76561198061252210,1250,0
OfficialShroomsy,51,76561198059361962,2,0
76561198056147391,7,76561198056147391,1537,34
8Bit-Ninja,81,76561198033538808,6296,0
76561198071500702,13,76561198071500702,314,88
76561198099905030,78,76561198099905030,875,0
76561198047407223,56,76561198047407223,3802,0
latiano,72,76561198048020950,14577,0
kongtape,73,76561198073719185,777,0
boydeer,149,76561198106550365,0,0
76561198100297613,74,76561198100297613,430,0
VVillis,168,76561198092825399,81,0
Bubblecup,0,76561198057605314,0,0
76561198083226897,6,76561198083226897,12932,1740
76561198082525427,0,76561198082525427,0,0
76561198075277292,14,76561198075277292,600,0
76561198094630961,20,76561198094630961,30778,595
12549,64,76561198091016962,468,0
76561198028895010,190,76561198028895010,198,0
76561198092411867,20,76561198092411867,1919,0
76561198170198366,27,76561198170198366,115,97
diego9031,200,76561198082027703,21928,288
iampiepiepie,41,76561198058169014,530,0
76561198079863506,26,76561198079863506,384,0
jarrodtrim,161,76561197999173629,337,0
76561198078738103,33,76561198078738103,303466,8117
76561198068964564,12,76561198068964564,176,0
76561198067936203,46,76561198067936203,1828,0
76561198079770573,30,76561198079770573,1696,0
UpTheAss,10,76561198073052495,469,34
76561198048504366,0,76561198048504366,0,0
76561197977385164,12,76561197977385164,0,0
76561198075491015,34,76561198075491015,7013,0
76561198087586464,31,76561198087586464,13,0
76561198086878953,185,76561198086878953,1516,0
Derp-e,18,76561198045022050,174,0
76561198070194565,214,76561198070194565,2267,0
Rivtex,51,76561198104187800,3,0
firefreddy,25,76561198059463642,93,0
UTNerd24,188,76561198053985682,5,0
sandwiches1,172,76561198052850911,374,0
76561198093083895,15,76561198093083895,3123,0
76561198138053270,64,76561198138053270,102731,4238
76561198062422084,83,76561198062422084,1118,0
steamurl,0,76561197998080236,0,0
lucaswerg,0,76561198056696376,0,0
Life-Of-Blu,64,76561198065991640,304,0
CaptianAutismo,62,76561198100886422,3920,6
maxgp,77,76561198087444424,7648,0
AppaTheSwagBison,77,76561198060827877,15589,0
knightboy991,67,76561198037380683,9772,1
76561198034678103,49,76561198034678103,2545,0
76561198075895633,38,76561198075895633,442,0
TheDropix101,16,76561198066482493,3818,0
kube134,476,76561198031442694,4,0
iamthekingofbrowntown,124,76561198101807736,904,0
MainScout,36,76561198092334812,0,0
gdxsd,79,76561198087667012,285,0
yookobz,174,76561198043608819,0,0
Posiblydead,255,76561198055519677,987,0
Mossy_Gaming,21,76561198095258412,708,0
76561198093817084,65,76561198093817084,8144,0
76561198102421718,88,76561198102421718,59192,0
76561198079045885,36,76561198079045885,2867,0
76561198087407319,66,76561198087407319,21,0
76561198074466513,31,76561198074466513,36,0
damo131,20,76561198048517110,415,0
19702316748,94,76561198069523027,1545,0
FrystHjarte,39,76561198056505985,15945,0
76561198056741844,257,76561198056741844,12,0
sad-commie,306,76561198040301510,10,0
Sillybaby,0,76561198047635687,0,0
76561198030567998,75,76561198030567998,21,0
76561198010674657,0,76561198010674657,0,0
Coldaniel,133,76561198126946946,7727,924
therealmorty,174,76561198082552101,13940,0
itslonk,133,76561198027380739,8,0
DeDroidUreLookin4,52,76561198065666007,250,0
Berserklejerker,123,76561198026747561,20913,0
76561198088799241,76,76561198088799241,49,0
76561198061730629,87,76561198061730629,14,0
YoHuNz,153,76561198024740070,0,0
possessioniskey,23,76561198073017892,8531,489
76561198072732874,49,76561198072732874,2967,0
76561198093112529,30,76561198093112529,5080,0
sevqu,28,76561198131248794,39,0
76561198060447950,55,76561198060447950,0,0
whiteofwolfing,21,76561198136952974,36840,171
76561198056857968,64,76561198056857968,451,0
sergarino,80,76561198084507508,37016,0
PyroCreed,55,76561198061508205,124,0
76561198052897627,20,76561198052897627,277,0
76561198081962345,95,76561198081962345,18539,156
76561198039266268,13,76561198039266268,6,0
76561198094224872,25,76561198094224872,2150,0
76561198073210139,39,76561198073210139,2050,1
Nozomikat,108,76561198076738682,9972,0
76561198076933844,33,76561198076933844,0,0
76561198072186059,57,76561198072186059,3,0
xfluttersx,344,76561198069920369,17,0
76561198068621601,8,76561198068621601,40,0
76561198056290589,41,76561198056290589,1908,0
thompyawesomeness,0,76561198021054286,0,0
ii_voltage_ii,456,76561198075905679,6398,0
76561198097762318,22,76561198097762318,1838,0
Hirukaz,81,76561198061518530,2466,0
StelerForYou,68,76561198066728567,445,0
76561198183396245,24,76561198183396245,307,0
otteloo,115,76561198050051886,0,0
shinra420,42,76561198049648545,6864,0
Xx-Woods,173,76561198064054499,150,0
kevinator23,71,76561198064469140,1641,0
tonyballoney,38,76561198071836696,263,26
76561198090715178,82,76561198090715178,9098,0
CatsWhale,0,76561198072380677,0,0
Child_Vs_Puddle,28,76561198126693531,1084,1
76561198073784601,69,76561198073784601,9129,98
mimimomoma,191,76561198098305358,200,0
76561198102410011,22,76561198102410011,0,0
de_Butl3r,17,76561198092276029,8263,0
76561198157999555,3,76561198157999555,488,0
76561198027947401,27,76561198027947401,270,0
Bluezap1,50,76561198228257988,0,0
76561198074200011,4,76561198074200011,258,83
jonasdbomb,461,76561198026525528,0,0
L1J1N,34,76561198059515552,88,0
Lord_Exploit,48,76561198121529183,50,0
76561198079106676,83,76561198079106676,270,0
76561198092244787,33,76561198092244787,2617,0
Sanctus94,75,76561198003388886,392,0
76561197990792016,113,76561197990792016,12108,0
76561198068415226,0,76561198068415226,0,0
AVATAR715,186,76561198086661549,1159,0
76561198073987767,24,76561198073987767,196,0
Fluxxyz,8,76561198175213762,3952,0
76561198092150873,75,76561198092150873,5478,8
YieuwMage,70,76561198168665156,2706,0
76561198078752187,0,76561198078752187,0,0
Nfkted_CS,17,76561198071472087,1410,13
A-Very-Sly-Person,45,76561198078378562,3092,0
76561198211054671,0,76561198211054671,0,0
76561197994493402,151,76561197994493402,1037,0
Koolcaz12,0,76561198104221843,0,0
76561198065656175,110,76561198065656175,75,0
76561198188979775,8,76561198188979775,2497,0
97396295,22,76561198090575193,13226,0
M1ss_P1nk,0,76561198074777105,0,0
xoFushiox,49,76561198080439887,4523,0
76561198126640317,27,76561198126640317,565,0
DemonicWolvz,106,76561198083882871,3990,0
DieMadchenschanderin,200,76561198010679125,194,0
76561198052784112,0,76561198052784112,0,0
76561198072706529,59,76561198072706529,290,0
76561198215949741,2,76561198215949741,38830,1025
GGargula,185,76561198086990597,408,0
Myther43,213,76561198081394779,50,0
getf0kinn0sc0pedm9,78,76561198085068505,19872,816
76561198141443390,107,76561198141443390,36,0
76561198031924053,4,76561198031924053,38991,0
76561198097333029,23,76561198097333029,219,0
dominiclim99,16,76561198069196370,0,0
whodafuqisthisguilao,41,76561198073910768,462,0
76561198072205329,21,76561198072205329,1321,0
Icamebackbitches,76,76561198040729204,55,0
Magjiikal,162,76561198042805870,212,0
ohnospaghet,176,76561198049699081,332,0
76561198060062487,5,76561198060062487,0,0
76561198050347115,95,76561198050347115,0,0
2768820078,91,76561198141694336,3370,0
76561198049968536,53,76561198049968536,80,0
76561198056392326,141,76561198056392326,356,0
2d4nk4m3,160,76561198077997412,51,0
76561198074003102,9,76561198074003102,4100,0
76561198078478151,23,76561198078478151,0,0
exiaez,37,76561198069274972,8509,0
BURNINGchicken3,307,76561198043909770,298,0
76561198066835162,112,76561198066835162,428,0
76561198069593452,34,76561198069593452,669,0
undietaker,92,76561197997052702,2979,0
76561198095921854,82,76561198095921854,6460,287
EizanAratoFujimaki,391,76561198160640899,1926,0
POOTISSPENSOR,26,76561198067103238,128,0
angorabug,49,76561198081342211,14,0
TeCool,56,76561198034252291,85,0
ZyhgarThestarweaver,179,76561198067775813,4201,0
2xDelorean,55,76561198043816230,4037,0
